Timestamp,Le Cyclo,Le Commerce,Imprevu,Do you prefer water,What is your first language?,What is your height in centimeters?,What is dice 1 value?,What is dice 2 value?,What is dice 3 value?
11/4/2019 7:25:51,4,4,2,without gas,English,181,1,2,1
11/4/2019 8:58:53,3,4,1,with gas,German,170,4,1,6
11/4/2019 12:00:17,4,3,2,,,,1,5,3
11/4/2019 12:00:45,0,3,0,,,,2,5,5
11/4/2019 12:57:16,5,0,5,,,,6,5,6
11/4/2019 13:12:59,3,0,3,,,,5,3,4
11/4/2019 13:13:24,5,0,0,,,,2,6,2
11/4/2019 13:13:34,4,0,2,,,,2,5,6
11/4/2019 13:16:17,4,4,5,,,,1,1,6
11/4/2019 13:18:15,5,4,5,,,,1,5,6
11/4/2019 13:18:39,3,5,4,,,,4,5,3
11/4/2019 13:19:31,3,0,4,,,,2,3,1
11/4/2019 13:19:57,4,0,3,,,,4,6,4
11/4/2019 13:20:10,5,4,0,,,,3,4,1
11/4/2019 13:20:13,0,0,3,,,,4,6,4
11/4/2019 13:20:18,4,3,4,,,,6,2,1
11/4/2019 13:20:29,2,4,3,,,,6,4,6
11/4/2019 13:20:38,5,0,0,,,,1,2,4
11/4/2019 13:20:38,4,3,3,,,,6,6,3
11/4/2019 13:20:42,0,0,1,,,,5,2,3
11/4/2019 13:20:42,4,5,3,,,,2,2,5
11/4/2019 13:20:50,4,5,2,,,,6,5,6
11/4/2019 13:20:59,4,5,4,,,,2,3,3
11/4/2019 13:21:13,4,0,4,,,,1,6,3
11/4/2019 13:21:20,5,3,2,,,,6,2,1
11/4/2019 13:21:26,4,4,2,,,,1,1,1
11/4/2019 13:22:00,4,0,5,,,,4,5,4
11/4/2019 13:22:02,5,4,3,,,,6,3,5